candidate_id,corpus,split,source_file,sent_id,head_id,head_form,head_lemma,upos,xpos,head_deprel,feats,has_voice_pass,has_nsubj_pass,has_obl_agent,aux_pass_lemmas,aux_lemmas,cop_lemmas,participle_like,parent_id,parent_form,parent_deprel,head_children,provisional_streams,sentence,sentence_marked,sampling_stream,sample_set,sample_rank
gum|train|GUM_academic_lighting-37|8,gum,train,en_gum-ud-train.conllu,GUM_academic_lighting-37,8,discussed,discuss,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,will,_,1,_,_,_,2:nsubj:pass:aging;6:aux:will;7:aux:pass:be;11:obl:reactions;20:dep:4;22:punct:.,core_be;passive_ledger,Skin aging and skin cancer will be discussed as those reactions produced by prolonged or repeated UVR exposure [4].,Skin aging and skin cancer will be [[discussed]] as those reactions produced by prolonged or repeated UVR exposure [ 4 ] .,core_be,analytic_core_candidate,14
gum|dev|GUM_interview_cyclone-15|4,gum,dev,en_gum-ud-dev.conllu,GUM_interview_cyclone-15,4,sustained,sustain,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,1,be,_,_,1,_,_,_,2:nsubj:pass:cyclones;3:aux:pass:are;7:obl:agent:form;28:punct:.,core_be;passive_ledger,"Tropical cyclones are sustained by a form of energy called latent heat, which is released by moisture evaporated from the ocean that condenses to form rain.","Tropical cyclones are [[sustained]] by a form of energy called latent heat , which is released by moisture evaporated from the ocean that condenses to form rain .",core_be,analytic_core_candidate,30
ewt|train|weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0148|16,ewt,train,en_ewt-ud-train.conllu,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0148,16,needed,need,VERB,VBN,acl,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,15,processes,nmod,18:xcomp:weaponize,passive_ledger;peripheral_reduced_embedded,He has said that the Iraqis made surprising innovations in the milling and drying processes needed to weaponize anthrax.,He has said that the Iraqis made surprising innovations in the milling and drying processes [[needed]] to weaponize anthrax .,peripheral_reduced_embedded,analytic_peripheral_candidate,34
gum|dev|GUM_essay_tools-42|3,gum,dev,en_gum-ud-dev.conllu,GUM_essay_tools-42,3,followed,follow,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:Computers;2:aux:have;6:obj:pattern;7:punct:.,foil_perfect,Computers have followed a similar pattern.,Computers have [[followed]] a similar pattern .,foil_perfect,analytic_foil_candidate,21
ewt|train|newsgroup-groups.google.com_emails_ec0a1064de05e74b_ENG_20040929_023800-0024|20,ewt,train,en_ewt-ud-train.conllu,newsgroup-groups.google.com_emails_ec0a1064de05e74b_ENG_20040929_023800-0024,20,trademarked,trademark,VERB,VBN,conj,Tense=Past|VerbForm=Part|Voice=Pass,1,1,1,be,_,_,1,6,wanted,root,16:cc:but;17:nsubj:pass:that;18:aux:pass:was;19:advmod:already;24:obl:agent:chain;27:parataxis:had,core_be;passive_ledger,Bob Noyce and Gordon Moore wanted to name their new company 'Moore Noyce' but that was already trademarked by a hotel chain so they had to settle for an acronym of INTegrated ELectronics.,Bob Noyce and Gordon Moore wanted to name their new company ' Moore Noyce ' but that was already [[trademarked]] by a hotel chain so they had to settle for an acronym of INTegrated ELectronics .,core_be,analytic_core_candidate,59
gum|train|GUM_conversation_erasmus-24|8,gum,train,en_gum-ud-train.conllu,GUM_conversation_erasmus-24,8,consented,consent,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have;would,_,1,_,_,_,1:nsubj:Pico;5:aux:would;6:advmod:not;7:aux:have;11:obl:doctrine;15:punct:.,foil_perfect,Pico de la Mirandela would not have consented to the doctrine of original sin.,Pico de la Mirandela would not have [[consented]] to the doctrine of original sin .,foil_perfect,analytic_foil_candidate,18
gum|train|GUM_textbook_spacetime-17|16,gum,train,en_gum-ud-train.conllu,GUM_textbook_spacetime-17,16,brought,bring,VERB,VBN,conj,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,be,_,_,1,7,broke,ccomp,12:punct:(;13:cc:but;14:aux:pass:was;15:advmod:soon;18:xcomp:control;19:punct:),passive_ledger;peripheral_manual_probe,"Then you explain that the fire broke out at 6:23 p.m. (but was soon brought under control), which specifies the event in time.","Then you explain that the fire broke out at 6:23 p.m. ( but was soon [[brought]] under control ) , which specifies the event in time .",peripheral_manual_probe,analytic_peripheral_candidate,35
gum|train|GUM_bio_hadid-6|3,gum,train,en_gum-ud-train.conllu,GUM_bio_hadid-6,3,described,describe,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,1,be,_,_,1,_,_,_,1:nsubj:pass:She;2:aux:pass:was;6:obl:agent:Guardian;12:obl:Queen,core_be;passive_ledger,"She was described by The Guardian of London as the 'Queen of the curve', who ""liberated architectural geometry, giving it a whole new expressive identity.""","She was [[described]] by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """,core_be,analytic_core_candidate,17
ewt|train|reviews-156460-0006|3,ewt,train,en_ewt-ud-train.conllu,reviews-156460-0006,3,made,make,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,1:nsubj:pass:I;2:aux:pass:am;5:xcomp:feel;12:advcl:chair;17:conj:had;26:punct:.,core_be;passive_ledger,I am made to feel special when I am in the chair and I have NEVER had a less than amazing cut or color experience.,I am [[made]] to feel special when I am in the chair and I have NEVER had a less than amazing cut or color experience .,core_be,heldout,32
ewt|train|weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0008|5,ewt,train,en_ewt-ud-train.conllu,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0008,5,based,base,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,2:nsubj:pass:perspective;3:aux:pass:is;4:advmod:entirely;9:advcl:see;31:punct:.,core_be;passive_ledger,"My perspective is entirely based on what I see, on what I read and on the fact that my family has lived in this region for almost 200 years.","My perspective is entirely [[based]] on what I see , on what I read and on the fact that my family has lived in this region for almost 200 years .",core_be,analytic_core_candidate,39
ewt|train|weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0046|10,ewt,train,en_ewt-ud-train.conllu,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0046,10,said,say,VERB,VBN,ccomp,Tense=Past|VerbForm=Part,0,0,0,_,have,be,1,36,said,root,"1:punct:"";2:nsubj:outer:What;5:cop:is;6:mark:that;7:nsubj:he;8:aux:'s;9:advmod:always;15:ccomp:obligation;24:punct:,;25:punct:""",foil_copular_participle;foil_perfect,"""What we know is that he's always said it was a religious obligation to have the same weapons as their enemies,"" former CIA OBL unit counter terrorism chief Michael Scheuer has said.",""" What we know is that he 's always [[said]] it was a religious obligation to have the same weapons as their enemies , "" former CIA OBL unit counter terrorism chief Michael Scheuer has said .",foil_copular_participle,analytic_foil_candidate,11
gum|train|GUM_academic_lighting-28|17,gum,train,en_gum-ud-train.conllu,GUM_academic_lighting-28,17,based,base,VERB,VBN,advcl,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,14,choosing,xcomp,21:obl:price,passive_ledger;peripheral_manual_probe,"Unfortunately, most of the time, people in the residential end up choosing a lamp based on it is price rather than its efficiency and this cause us to pay for our lighting more than necessary.","Unfortunately , most of the time , people in the residential end up choosing a lamp [[based]] on it is price rather than its efficiency and this cause us to pay for our lighting more than necessary .",peripheral_manual_probe,analytic_peripheral_candidate,1
ewt|train|weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086|36,ewt,train,en_ewt-ud-train.conllu,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0086,36,let,let,VERB,VBN,conj,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,16,days,nmod,"22:punct:,;23:cc:and;24:advmod:how;25:advmod:whenever;34:nsubj:pass:he;35:aux:pass:was;37:xcomp:go;41:advcl:discovered",core_be;passive_ledger,"GOODWYN: According to Archibald, Mr. Bush would also sometimes tell stories about his days at Yale in New Haven, and how whenever he got pulled over for erratic driving, he was let go after the officers discovered he was the grandson of a Connecticut US senator.","GOODWYN : According to Archibald , Mr. Bush would also sometimes tell stories about his days at Yale in New Haven , and how whenever he got pulled over for erratic driving , he was [[let]] go after the officers discovered he was the grandson of a Connecticut US senator .",core_be,analytic_core_candidate,14
gum|train|GUM_academic_census-13|21,gum,train,en_gum-ud-train.conllu,GUM_academic_census-13,21,used,use,VERB,VBN,conj,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,13,tended,root,18:cc:and;19:aux:have;20:advmod:instead;22:obj:samples;45:conj:focused,foil_perfect,"Because assembling such a full census is difficult, past studies have tended to avoid this task and have instead used samples of researchers [8 – 11], usually specific to a particular field [12 – 16], and often focused on the scientific elite [17, 18].","Because assembling such a full census is difficult , past studies have tended to avoid this task and have instead [[used]] samples of researchers [ 8 – 11 ] , usually specific to a particular field [ 12 – 16 ] , and often focused on the scientific elite [ 17 , 18 ] .",foil_perfect,analytic_foil_candidate,31
gum|train|GUM_academic_mutation-32|6,gum,train,en_gum-ud-train.conllu,GUM_academic_mutation-32,6,called,call,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,2:nsubj:pass:areas;5:aux:pass:are;7:xcomp:Geofences;8:punct:.,core_be;passive_ledger,These areas of interest are called Geofences.,These areas of interest are [[called]] Geofences .,core_be,analytic_core_candidate,32
ewt|train|reviews-128636-0002|12,ewt,train,en_ewt-ud-train.conllu,reviews-128636-0002,12,used,use,VERB,VBN,acl:relcl,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,8,photographer,root,9:obj:that;10:nsubj:I;11:aux:have,foil_participial_modifier;foil_perfect,David is the most helpful and creative photographer that I have used.,David is the most helpful and creative photographer that I have [[used]] .,foil_participial_modifier,heldout,15
ewt|train|email-enronsent43_01-0096|20,ewt,train,en_ewt-ud-train.conllu,email-enronsent43_01-0096,20,adjusted,adjust,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,1:advmod:Also;3:nsubj:pass:revenues;19:aux:pass:were;21:advmod:accordingly;22:punct:.,core_be;passive_ledger,"Also, revenues for the shippers acquiring released volumes from PGE at rates above TW's tariff rates were adjusted accordingly.","Also , revenues for the shippers acquiring released volumes from PGE at rates above TW 's tariff rates were [[adjusted]] accordingly .",core_be,analytic_core_candidate,18
gum|train|GUM_interview_dungeon-20|5,gum,train,en_gum-ud-train.conllu,GUM_interview_dungeon-20,5,pulled,pull,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:cc:And;3:nsubj:ad;4:aux:had;8:obj:girls;14:advcl:think;25:punct:.,foil_perfect,"And that ad had pulled so many girls, because they -- I think they all thought that nice girls don't do this.","And that ad had [[pulled]] so many girls , because they -- I think they all thought that nice girls do n't do this .",foil_perfect,heldout,19
ewt|test|weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0007|9,ewt,test,en_ewt-ud-test.conllu,weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0007,9,known,know,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have;should,be,1,_,_,_,"2:nsubj:outer:question;3:cop:is;5:punct:"";6:aux:Should;7:nsubj:he;8:aux:have;12:ccomp:coming;13:punct:?;14:punct:""",foil_copular_participle;foil_perfect,"The question is, ""Should he have known it was coming?""","The question is , "" Should he have [[known]] it was coming ? """,foil_copular_participle,analytic_foil_candidate,29
gum|train|GUM_court_equality-24|5,gum,train,en_gum-ud-train.conllu,GUM_court_equality-24,5,pointed,point,VERB,VBN,acl,Tense=Past|VerbForm=Part|Voice=Pass,1,0,1,_,_,_,1,4,channel,root,6:compound:prt:out;9:obl:agent:Rohatgi;13:obl:sense,passive_ledger;peripheral_reduced_embedded,One is the channel pointed out by Mr. Rohatgi in a restrictive sense that only construe the Special Marriage Act.,One is the channel [[pointed]] out by Mr. Rohatgi in a restrictive sense that only construe the Special Marriage Act .,peripheral_reduced_embedded,analytic_peripheral_candidate,9
gum|test|GUM_speech_newzealand-24|4,gum,test,en_gum-ud-test.conllu,GUM_speech_newzealand-24,4,stepped,step,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:We;2:aux:have;3:advmod:also;5:compound:prt:up;8:obj:presence;12:punct:.,foil_perfect,We have also stepped up the health presence at our airports.,We have also [[stepped]] up the health presence at our airports .,foil_perfect,analytic_foil_candidate,33
ewt|train|email-enronsent02_01-0049|10,ewt,train,en_ewt-ud-train.conllu,email-enronsent02_01-0049,10,completed,complete,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,1,be,will,_,1,_,_,_,2:nsubj:pass:resubstantiation;8:aux:will;9:aux:pass:be;15:obl:agent:staff;16:advcl:reconciling,core_be;passive_ledger,A resubstantiation of the full Q1 DPR will be completed by the Risk control staff reconciling the full trial balances between Q1 open and Q1 close,A resubstantiation of the full Q1 DPR will be [[completed]] by the Risk control staff reconciling the full trial balances between Q1 open and Q1 close,core_be,analytic_core_candidate,46
ewt|train|weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0193|26,ewt,train,en_ewt-ud-train.conllu,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0193,26,asked,ask,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,7:obl:memo;22:nsubj:Osama;25:aux:had;28:iobj:intelligence;31:obl:assistance;46:punct:.,foil_perfect,"According to the controversial ""Feith memo,"" which summarized purported intelligence showing an Iraqi/Al Qaeda connection, Osama Bin Laden had asked Iraqi intelligence for technical assistance in sending letter bombs a half year before the Al Hayat letters were sent.","According to the controversial "" Feith memo , "" which summarized purported intelligence showing an Iraqi / Al Qaeda connection , Osama Bin Laden had [[asked]] Iraqi intelligence for technical assistance in sending letter bombs a half year before the Al Hayat letters were sent .",foil_perfect,heldout,16
ewt|train|reviews-363873-0004|27,ewt,train,en_ewt-ud-train.conllu,reviews-363873-0004,27,closed,close,VERB,VBN,xcomp,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,be,_,_,1,24,supposed,advcl,25:mark:to;26:aux:pass:be,passive_ledger;peripheral_manual_probe,"We were always having our water shut off, there were always people having parties at the pool, even after it was supposed to be closed.","We were always having our water shut off , there were always people having parties at the pool , even after it was supposed to be [[closed]] .",peripheral_manual_probe,analytic_peripheral_candidate,31
ewt|train|email-enronsent36_02-0049|21,ewt,train,en_ewt-ud-train.conllu,email-enronsent36_02-0049,21,calculated,calculate,VERB,VBN,parataxis,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,will,_,1,2,Calculation,root,6:punct::;9:nsubj:pass:Amount;19:aux:will;20:aux:pass:be;25:obl:Date;27:advcl:follows,core_be;passive_ledger,"""Calculation of Floating Amount: The Floating Amount payable by [ENA] on a Payment Date will be calculated for that Payment Date as follows:",""" Calculation of Floating Amount : The Floating Amount payable by [ ENA ] on a Payment Date will be [[calculated]] for that Payment Date as follows :",core_be,analytic_core_candidate,49
gum|train|GUM_fiction_wedding-32|3,gum,train,en_gum-ud-train.conllu,GUM_fiction_wedding-32,3,dressed,dress,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,get,_,_,1,_,_,_,1:nsubj:pass:I;2:aux:pass:got;9:conj:quicker;24:punct:.,passive_ledger;peripheral_get,"I got dressed, but my page was quicker than I was and ran out of the chamber to see what was what.","I got [[dressed]] , but my page was quicker than I was and ran out of the chamber to see what was what .",peripheral_get,analytic_peripheral_candidate,2
ewt|dev|email-enronsent29_01-0004|3,ewt,dev,en_ewt-ud-dev.conllu,email-enronsent29_01-0004,3,attached,attach,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:I;2:aux:have;6:obj:copy;16:obl:review;19:punct:.,foil_perfect,I have attached a revised copy of the GISB Agreement and Special Provisions for your review and consideration.,I have [[attached]] a revised copy of the GISB Agreement and Special Provisions for your review and consideration .,foil_perfect,analytic_foil_candidate,12
gum|train|GUM_voyage_thailand-4|7,gum,train,en_gum-ud-train.conllu,GUM_voyage_thailand-4,7,done,do,VERB,VBN,advcl:relcl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,4,how,obj,5:nsubj:pass:it;6:aux:pass:'s,core_be;passive_ledger,Ronald McDonald showing how it's done,Ronald McDonald showing how it 's [[done]],core_be,analytic_core_candidate,34
gum|dev|GUM_vlog_radiology-21|8,gum,dev,en_gum-ud-dev.conllu,GUM_vlog_radiology-21,8,pulled,pull,VERB,VBN,conj,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,get,_,_,1,3,Tuesday,root,4:cc:and;5:obl:unmarked:today;6:nsubj:pass:I;7:aux:pass:got;10:obl:ultrasound,passive_ledger;peripheral_get,It is Tuesday and today I got pulled to ultrasound.,It is Tuesday and today I got [[pulled]] to ultrasound .,peripheral_get,analytic_peripheral_candidate,37
ewt|train|reviews-121651-0005|10,ewt,train,en_ewt-ud-train.conllu,reviews-121651-0005,10,cleaned,clean,VERB,VBN,root,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,_,_,_,1:cc:And;6:advcl:done;8:nsubj:pass:thing;9:aux:pass:was;11:compound:prt:up;13:conj:hauled;18:punct:.,core_be;passive_ledger,And when the job was done every thing was cleaned up and hauled off that same day.,And when the job was done every thing was [[cleaned]] up and hauled off that same day .,core_be,analytic_core_candidate,25
ewt|train|reviews-346960-0006|26,ewt,train,en_ewt-ud-train.conllu,reviews-346960-0006,26,fixed,fix,VERB,VBN,xcomp,Tense=Past|VerbForm=Part|Voice=Pass,1,0,0,_,_,_,1,23,get,advcl,27:advmod:properly;28:advmod:again,passive_ledger;peripheral_manual_probe,"If I had time to drive to Tacoma before they closed during the work week, I would just so I could get those boots fixed properly again.","If I had time to drive to Tacoma before they closed during the work week , I would just so I could get those boots [[fixed]] properly again .",peripheral_manual_probe,heldout,9
ewt|test|weblog-juancole.com_juancole_20030914114200_ENG_20030914_114200-0001|30,ewt,test,en_ewt-ud-test.conllu,weblog-juancole.com_juancole_20030914114200_ENG_20030914_114200-0001,30,buried,bury,VERB,VBN,advcl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,be,_,_,1,3,chanted,root,16:mark:as;19:nsubj:pass:police;29:aux:pass:were;32:obl:Saturday,core_be;passive_ledger,"Angry crowds chanted anti-American slogans in the western city of Falluja (pop. 256,000) as the security police killed in a friendly fire incident by US troops were buried on Saturday.","Angry crowds chanted anti-American slogans in the western city of Falluja ( pop. 256,000 ) as the security police killed in a friendly fire incident by US troops were [[buried]] on Saturday .",core_be,analytic_core_candidate,34
ewt|train|newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0077|26,ewt,train,en_ewt-ud-train.conllu,newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0077,26,straightened,straighten,VERB,VBN,advcl,Tense=Past|VerbForm=Part|Voice=Pass,1,1,0,get,_,_,1,21,remain,advcl,23:mark:until;24:nsubj:pass:things;25:aux:pass:got;27:compound:prt:out;29:advmod:there,passive_ledger;peripheral_get,"The family here (California) wanted to fly any family members from there to CA, so they could remain here until things got straightened out down there.","The family here ( California ) wanted to fly any family members from there to CA , so they could remain here until things got [[straightened]] out down there .",peripheral_get,analytic_peripheral_candidate,17
ewt|train|reviews-308088-0002|38,ewt,train,en_ewt-ud-train.conllu,reviews-308088-0002,38,BOTHERED,bother,VERB,VBN,conj,Tense=Past|VerbForm=Part,0,0,0,_,have;would,_,1,3,looking,root,"27:punct:"";28:cc:AND;32:advcl:WORTH;35:nsubj:I;36:aux:WOULD;37:aux:OF;39:advcl:ASWERING",foil_perfect,"I was looking to bring a customer to their lot to buy a car but the Internet salesperson Last name is Balazick sent me this email ""AND IF IT WAS WORTH MY TIME I WOULD OF BOTHERED ASWERING YOUR QUESTIONS.","I was looking to bring a customer to their lot to buy a car but the Internet salesperson Last name is Balazick sent me this email "" AND IF IT WAS WORTH MY TIME I WOULD OF [[BOTHERED]] ASWERING YOUR QUESTIONS .",foil_perfect,analytic_foil_candidate,41
ewt|train|reviews-071278-0005|3,ewt,train,en_ewt-ud-train.conllu,reviews-071278-0005,3,taken,take,VERB,VBN,root,Tense=Past|VerbForm=Part,0,0,0,_,have,_,1,_,_,_,1:nsubj:She;2:aux:has;4:obj:care;8:obl:girl;12:obl:years;13:advmod:now;18:conj:let;25:punct:!!!,foil_perfect,She has taken care of my sweet girl for almost 4 years now and I would not let Gracee go with anyone besides her!!!,She has [[taken]] care of my sweet girl for almost 4 years now and I would not let Gracee go with anyone besides her !!!,foil_perfect,analytic_foil_candidate,6
