pilot_item_id,sentence_marked,sentence,head_form,head_children,participial_form,licensing_marker,constructional_environment,local_subject_present,by_pp_present,stranded_preposition,event_implied,agent_implied,predicand_as_undergoer,peripheral_subtype,family_status,notes,pilot_order
FG100,Hydrogen peroxide is [[used]] to replace the luminol 's nitrogen atoms with oxygen .,Hydrogen peroxide is used to replace the luminol's nitrogen atoms with oxygen.,used,2:nsubj:pass:peroxide;3:aux:pass:is;6:advcl:replace;14:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,16
FG019,"Also , revenues for the shippers acquiring released volumes from PGE at rates above TW 's tariff rates were [[adjusted]] accordingly .","Also, revenues for the shippers acquiring released volumes from PGE at rates above TW's tariff rates were adjusted accordingly.",adjusted,1:advmod:Also;3:nsubj:pass:revenues;19:aux:pass:were;21:advmod:accordingly;22:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,17
FG031,The arancini di riso ( risotto fritters ) are not to be [[missed]] .,The arancini di riso (risotto fritters) are not to be missed.,missed,4:nsubj:pass:riso;9:aux:are;10:advmod:not;11:mark:to;12:aux:pass:be;14:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,reduced_or_embedded,peripheral,,18
FG044,There has [[been]] talk that the night curfew might be implemented again .,There has been talk that the night curfew might be implemented again.,been,1:expl:There;2:aux:has;4:nsubj:talk,past_participle,absent_other,clausal_predication,yes,no,no,no,no,no,none,foil,,19
FG065,"A mutant is a copy of the system in which a change has been [[done]] that , in most cases , will lead to a behaviour different than expected .","A mutant is a copy of the system in which a change has been done that, in most cases, will lead to a behaviour different than expected.",done,10:obl:which;12:nsubj:pass:change;13:aux:has;14:aux:pass:been,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,20
FG025,Bob Noyce and Gordon Moore wanted to name their new company ' Moore Noyce ' but that was already [[trademarked]] by a hotel chain so they had to settle for an acronym of INTegrated ELectronics .,Bob Noyce and Gordon Moore wanted to name their new company 'Moore Noyce' but that was already trademarked by a hotel chain so they had to settle for an acronym of INTegrated ELectronics.,trademarked,16:cc:but;17:nsubj:pass:that;18:aux:pass:was;19:advmod:already;24:obl:agent:chain;27:parataxis:had,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,21
FG083,"We have [[lost]] much -- too much , really , to list .","We have lost much -- too much, really, to list.",lost,1:nsubj:We;2:aux:have;4:obj:much;13:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,22
FG092,"By using Open Educational Resources , OER , School of Open is opening up to many students who would have otherwise [[missed]] the opportunity of accessing education , especially in the marginalized areas which could not adequately access quality education .","By using Open Educational Resources, OER, School of Open is opening up to many students who would have otherwise missed the opportunity of accessing education, especially in the marginalized areas which could not adequately access quality education.",missed,18:nsubj:who;19:aux:would;20:aux:have;21:advmod:otherwise;24:obj:opportunity,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,23
FG047,Its ramshackle army had virtually [[collapsed]] before the American invasion in 2003 .,Its ramshackle army had virtually collapsed before the American invasion in 2003.,collapsed,3:nsubj:army;4:aux:had;5:advmod:virtually;10:obl:invasion;13:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,yes,none,foil,,24
FG027,You who watch as budgets are [[cut]] in education and health care while you militarize a police force ?,You who watch as budgets are cut in education and health care while you militarize a police force?,cut,4:mark:as;5:nsubj:pass:budgets;6:aux:pass:are;9:obl:education;15:advcl:militarize,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,25
FG075,"And then their defense is , well , she should n't have she should have [[sought]] out alternative routes , number one .","And then their defense is, well, she shouldn't have she should have sought out alternative routes, number one.",sought,1:cc:And;2:advmod:then;4:nsubj:outer:defense;5:cop:is;7:discourse:well;12:reparandum:have;13:nsubj:she;14:aux:should;15:aux:have;17:compound:prt:out;19:obj:routes;21:parataxis:number;23:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,no,no,none,foil,,26
FG038,"Unreported by the international media , the Valley of Kashmir has seen an ethnic and cultural genocide that has [[resulted]] in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded .","Unreported by the international media, the Valley of Kashmir has seen an ethnic and cultural genocide that has resulted in the fleeing from the valley of almost all the Hindu families who have been living there since human habitation was first recorded.",resulted,18:nsubj:that;19:aux:has;23:obl:fleeing,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,27
FG055,"She died from infection caused by severe eczema after they shunned effective conventional medical treatments for homeopathy , a form of alternative medicine that has been [[described]] as pseudoscience .","She died from infection caused by severe eczema after they shunned effective conventional medical treatments for homeopathy, a form of alternative medicine that has been described as pseudoscience.",described,24:nsubj:pass:that;25:aux:has;26:aux:pass:been;29:obl:pseudoscience,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,28
FG053,Computers have [[followed]] a similar pattern .,Computers have followed a similar pattern.,followed,1:nsubj:Computers;2:aux:have;6:obj:pattern;7:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,29
FG002,You wear your heart on your sleeve ... and since you are an emotional person you are apt to give your all ... heart and soul ... to all those that show you a little affection ... but take care ... it would appear that you have been extremely [[hurt]] in the past ... and you keep leaving yourself wide open for punishment ..,You wear your heart on your sleeve ... and since you are an emotional person you are apt to give your all ... heart and soul ... to all those that show you a little affection ... but take care... it would appear that you have been extremely hurt in the past...and you keep leaving yourself wide open for punishment..,hurt,45:mark:that;46:nsubj:pass:you;47:aux:have;48:aux:pass:been;49:advmod:extremely;53:obl:past,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,30
FG061,"Tropical vegetation includes the pandanus or screw pine , the casuarina , and the mulberry tree , the bark of which is [[used]] to make tapa cloth .","Tropical vegetation includes the pandanus or screw pine, the casuarina, and the mulberry tree, the bark of which is used to make tapa cloth.",used,"17:punct:,;19:nsubj:pass:bark;22:aux:pass:is;25:advcl:make",past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,31
FG066,"For example , the Instruments for Research into Second Languages ( IRIS ) repository ( http://www.irisdatabase.org ) was [[established]] in 2011 and holds , at the time of writing , over 3,800 materials that can be used for replication , among other purposes , in L2 research ( Marsden & Mackey , 2014 ; Marsden , Mackey , & Plonsky , 2016 ) .","For example, the Instruments for Research into Second Languages (IRIS) repository (http://www.irisdatabase.org) was established in 2011 and holds, at the time of writing, over 3,800 materials that can be used for replication, among other purposes, in L2 research (Marsden & Mackey, 2014; Marsden, Mackey, & Plonsky, 2016).",established,2:obl:example;14:nsubj:pass:repository;18:aux:pass:was;21:obl:2011;23:conj:holds;49:dep:Marsden;64:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,32
FG014,"This also will serve as a reminder that an all - Party meeting is [[scheduled]] at PG&E 's headquarters in San Francisco on January 10 and 11 , to discuss this proposal and to respond to your questions .","This also will serve as a reminder that an all-Party meeting is scheduled at PG&E's headquarters in San Francisco on January 10 and 11, to discuss this proposal and to respond to your questions.",scheduled,8:mark:that;13:nsubj:pass:meeting;14:aux:pass:is;19:obl:headquarters;25:obl:10;30:advcl:discuss,past_participle,be,clausal_predication,yes,no,no,unclear,yes,yes,none,core,,33
FG063,"Because assembling such a full census is difficult , past studies have tended to avoid this task and have instead [[used]] samples of researchers [ 8 – 11 ] , usually specific to a particular field [ 12 – 16 ] , and often focused on the scientific elite [ 17 , 18 ] .","Because assembling such a full census is difficult, past studies have tended to avoid this task and have instead used samples of researchers [8 – 11], usually specific to a particular field [12 – 16], and often focused on the scientific elite [17, 18].",used,18:cc:and;19:aux:have;20:advmod:instead;22:obj:samples;45:conj:focused,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,34
FG040,"But Kalkat pointed out that India would be ill - [[advised]] to be involved again , militarily , with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka 's Jaffna peninsula by the narrow Palk Straits .","But Kalkat pointed out that India would be ill-advised to be involved again, militarily, with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka's Jaffna peninsula by the narrow Palk Straits.",advised,5:mark:that;6:nsubj:pass:India;7:aux:would;8:aux:pass:be;9:advmod:ill;14:xcomp:involved;27:advcl:had,past_participle,be,clausal_predication,yes,no,no,no,no,yes,stative_adjectival,peripheral,,35
FG087,"Panama 's attempt in the 54th minute , by Michael Murillo , was [[saved]] by Thibaut Courtois .","Panama's attempt in the 54th minute, by Michael Murillo, was saved by Thibaut Courtois.",saved,3:nsubj:pass:attempt;13:aux:pass:was;16:obl:agent:Thibaut;18:punct:.,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,36
FG080,Prince Hermes : Now after humankind has suffered so much harm here I flow having by god ’s counsel and with the help of art [[become]] a healing balm .,Prince Hermes: Now after humankind has suffered so much harm here I flow having by god’s counsel and with the help of art become a healing balm.,become,15:aux:having;19:obl:counsel;29:xcomp:balm,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,37
FG067,This is [[exploited]] by the wing of an aeroplane which is designed to create an area above its surface where the air velocity increases .,This is exploited by the wing of an aeroplane which is designed to create an area above its surface where the air velocity increases.,exploited,1:nsubj:pass:This;2:aux:pass:is;6:obl:agent:wing;25:punct:.,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,38
FG074,"Uh I do emphasize that I 'm reading it , this is not evidence , this is only y- your story , that you 've [[told]] Mr. Roberts .","Uh I do emphasize that I'm reading it, this is not evidence, this is only y- your story, that you've told Mr. Roberts.",told,"22:punct:,;23:obj:that;24:nsubj:you;25:aux:'ve;28:iobj:Roberts",past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,39
FG069,"She was [[described]] by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . ""","She was described by The Guardian of London as the 'Queen of the curve', who ""liberated architectural geometry, giving it a whole new expressive identity.""",described,1:nsubj:pass:She;2:aux:pass:was;6:obl:agent:Guardian;12:obl:Queen,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,40
FG021,"Walls keeping water out of the bowl - shaped city have been [[breached]] , and emergency teams are using helicopters to drop 1,350 kg ( 3,000 lb ) sandbags and concrete barriers into the gaps .","Walls keeping water out of the bowl-shaped city have been breached, and emergency teams are using helicopters to drop 1,350kg (3,000lb) sandbags and concrete barriers into the gaps.",breached,1:nsubj:pass:Walls;11:aux:have;12:aux:pass:been;19:conj:using;36:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,41
FG086,Wait until the fourth or fifth day of the festival when the crowds will have [[dwindled]] .,Wait until the fourth or fifth day of the festival when the crowds will have dwindled.,dwindled,11:advmod:when;13:nsubj:crowds;14:aux:will;15:aux:have,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,42
FG004,"' Everything is for the best in the best of all possible worlds if only no artificial hindrances are [[put]] in the way of free exchange , for demand and supply will regulate everything better than any Government would be able to . '","'Everything is for the best in the best of all possible worlds if only no artificial hindrances are put in the way of free exchange, for demand and supply will regulate everything better than any Government would be able to.'",put,14:mark:if;15:advmod:only;18:nsubj:pass:hindrances;19:aux:pass:are;23:obl:way,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,43
FG054,"From all the press reports that I have [[read]] , the Indian government appears to have taken the threat of Cyclone Phailin very seriously indeed .","From all the press reports that I have read, the Indian government appears to have taken the threat of Cyclone Phailin very seriously indeed.",read,6:obj:that;7:nsubj:I;8:aux:have,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,44
FG045,"Because of such talk , Posada has been [[taken]] into custody by Immigration officials .","Because of such talk, Posada has been taken into custody by Immigration officials.",taken,4:obl:talk;6:nsubj:pass:Posada;7:aux:has;8:aux:pass:been;11:obl:custody;14:obl:agent:officials;15:punct:.,past_participle,be,clausal_predication,yes,yes,no,yes,yes,yes,none,core,,45
FG059,We have also [[stepped]] up the health presence at our airports .,We have also stepped up the health presence at our airports.,stepped,1:nsubj:We;2:aux:have;3:advmod:also;5:compound:prt:up;8:obj:presence;12:punct:.,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,46
FG007,"The question is , "" Should he have [[known]] it was coming ? ""","The question is, ""Should he have known it was coming?""",known,"2:nsubj:outer:question;3:cop:is;5:punct:"";6:aux:Should;7:nsubj:he;8:aux:have;12:ccomp:coming;13:punct:?;14:punct:""",past_participle,be,clausal_predication,yes,no,no,no,no,no,none,foil,,47
FG091,We think also of our brothers and sisters who have been cut off from us by political boundaries and who unhappily can not share at present in the freedom that has [[come]] .,We think also of our brothers and sisters who have been cut off from us by political boundaries and who unhappily can not share at present in the freedom that has come.,come,30:nsubj:that;31:aux:has,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,48
FG058,Tribalism is the biological loophole that many politicians have [[banked]] on for a long time : tapping into our fears and tribal instincts .,Tribalism is the biological loophole that many politicians have banked on for a long time: tapping into our fears and tribal instincts.,banked,6:obl:that;8:nsubj:politicians;9:aux:have;15:obl:time,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,49
FG056,"Mandatory diversity trainings in professional settings , for example , are [[intended]] to reduce bias in the workplace by increasing the awareness of employees regarding the challenges facing minority group members . [ 12 ]","Mandatory diversity trainings in professional settings, for example, are intended to reduce bias in the workplace by increasing the awareness of employees regarding the challenges facing minority group members. [12]",intended,3:nsubj:pass:trainings;11:aux:pass:are;14:xcomp:reduce;32:punct:.;34:dep:12,past_participle,be,clausal_predication,yes,no,no,unclear,yes,yes,none,core,,50
FG064,Skin aging and skin cancer will be [[discussed]] as those reactions produced by prolonged or repeated UVR exposure [ 4 ] .,Skin aging and skin cancer will be discussed as those reactions produced by prolonged or repeated UVR exposure [4].,discussed,2:nsubj:pass:aging;6:aux:will;7:aux:pass:be;11:obl:reactions;20:dep:4;22:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,51
FG098,"1647 : It is [[called]] Palace of forty columns , as there are many columns , and in Iranian , 40 means many .","1647: It is called Palace of forty columns, as there are many columns, and in Iranian, 40 means many.",called,1:obl:unmarked:1647;3:nsubj:pass:It;4:aux:pass:is;6:xcomp:Palace;13:advcl:are;22:conj:means;24:punct:.,past_participle,be,clausal_predication,yes,no,no,unclear,yes,yes,none,core,,52
FG062,Make sure the spot is [[sheltered]] from any cold winter winds .,Make sure the spot is sheltered from any cold winter winds.,sheltered,4:nsubj:pass:spot;5:aux:pass:is;11:obl:winds,past_participle,be,clausal_predication,yes,no,no,unclear,unclear,yes,none,core,,53
FG052,And what I wish to emphasize is that this court has [[made]] it abundantly clear that careless behavior alone is not wrongful .,And what I wish to emphasize is that this court has made it abundantly clear that careless behavior alone is not wrongful.,made,1:cc:And;2:nsubj:outer:what;7:cop:is;8:mark:that;10:nsubj:outer:court;11:aux:has;13:expl:it;15:xcomp:clear;22:ccomp:wrongful;23:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,no,no,none,foil,,54
FG011,I add that in because there have [[been]] some people who have tried to claim citizenship by sending for their birth certificate when they were never really born in Canada or to Canadian parents .,I add that in because there have been some people who have tried to claim citizenship by sending for their birth certificate when they were never really born in Canada or to Canadian parents.,been,5:mark:because;6:expl:there;7:aux:have;10:nsubj:people,past_participle,absent_other,clausal_predication,yes,no,no,no,no,no,none,foil,,55
FG077,"No , respectfully , Your Honor , that 's not right , because what they claimed in their -- in their brief -- in their complaint , and this is at JA 120 to 121 , was that they said that we were not [[allowed]] to invoke our copyright in the works .","No, respectfully, Your Honor, that's not right, because what they claimed in their -- in their brief -- in their complaint, and this is at JA 120 to 121, was that they said that we were not allowed to invoke our copyright in the works.",allowed,41:mark:that;42:nsubj:pass:we;43:aux:pass:were;44:advmod:not;47:xcomp:invoke,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,56
FG018,"As far as the EEI goes , the only remaining issue that I 'm aware of ( aside from finalizing the LOC ) is whether we 've [[finished]] coordinating the Attachment containing the list of prior transactions .","As far as the EEI goes, the only remaining issue that I'm aware of (aside from finalizing the LOC) is whether we've finished coordinating the Attachment containing the list of prior transactions.",finished,2:advmod:far;11:nsubj:outer:issue;24:cop:is;25:mark:whether;26:nsubj:we;27:aux:'ve;29:xcomp:coordinating;38:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,no,no,none,foil,,57
FG032,They have the best Egg Drop Soup I have ever [[tasted]] .,They have the best Egg Drop Soup I have ever tasted.,tasted,8:nsubj:I;9:aux:have;10:advmod:ever,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,58
FG076,The front door was [[deadbolted]] .,The front door was deadbolted.,deadbolted,3:nsubj:pass:door;4:aux:pass:was;6:punct:.,past_participle,be,clausal_predication,yes,no,no,unclear,yes,yes,none,core,,59
FG095,"And the thing is , on Sunday night , I had [[gotten]] back from work around 9:00 pm , so I took a shower .","And the thing is, on Sunday night, I had gotten back from work around 9:00 pm, so I took a shower.",gotten,1:cc:And;3:nsubj:outer:thing;4:cop:is;8:obl:night;10:nsubj:I;11:aux:had;13:advmod:back;17:obl:9:00;22:parataxis:took;25:punct:.,past_participle,be,clausal_predication,yes,no,no,yes,no,no,none,foil,,60
FG041,"It has also [[become]] an arms depot of the Liberation Tigers of Tamil Eelam ( LTTE ) , who operate almost freely in the Andaman Sea .","It has also become an arms depot of the Liberation Tigers of Tamil Eelam (LTTE), who operate almost freely in the Andaman Sea.",become,1:nsubj:It;2:aux:has;3:advmod:also;7:xcomp:depot,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,61
FG043,Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had [[collected]] the Ames strain from 20 sources .,Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources.,collected,14:mark:that;16:nsubj:FBI;17:aux:had;21:obj:strain;24:obl:sources,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,62
FG071,"This ice here of course is water , I told you there was water in this glass , and you have all [[seen]] water boil at home , so you are familiar with steam .","This ice here of course is water, I told you there was water in this glass, and you have all seen water boil at home, so you are familiar with steam.",seen,"18:punct:,;19:cc:and;20:nsubj:you;21:aux:have;22:advmod:all;24:obj:water;25:xcomp:boil;27:obl:home;32:parataxis:familiar",past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,63
FG015,Their schedule is [[listed]] below .,Their schedule is listed below.,listed,2:nsubj:pass:schedule;3:aux:pass:is;5:advmod:below;6:punct:.,past_participle,be,clausal_predication,yes,no,no,unclear,unclear,yes,none,core,,64
FG072,"We just put the shoes that were already [[made]] , on a horse .","We just put the shoes that were already made, on a horse.",made,6:nsubj:pass:that;7:aux:pass:were;8:advmod:already,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,65
FG035,"Whether they pay me or not , if their parents get into an accident , stuck in traffic , etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WAS N'T [[PAID]] .","Whether they pay me or not, if their parents get into an accident, stuck in traffic, etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WASN'T PAID.",PAID,33:mark:BECAUSE;34:nsubj:pass:I;35:aux:pass:WAS;36:advmod:N'T,past_participle,be,clausal_predication,yes,no,no,yes,yes,yes,none,core,,66
FG001,"The information contained herein is [[based]] on sources that we believe to be reliable , but we do not represent that it is accurate or complete .","The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.",based,2:nsubj:pass:information;5:aux:pass:is;8:obl:sources;20:conj:represent;27:punct:.,past_participle,be,clausal_predication,yes,no,no,no,no,yes,stative_adjectival,peripheral,,67
FG026,"Long before ( September 1560 ) Dr. Lopez had been the personal house doctor of Robert Dudley and the good doctor was obligated to write the death certificate for Amy Robsart ( stating that she had "" accidentally "" [[fallen]] down the stairs ) .","Long before (September 1560) Dr. Lopez had been the personal house doctor of Robert Dudley and the good doctor was obligated to write the death certificate for Amy Robsart (stating that she had ""accidentally"" fallen down the stairs).",fallen,34:mark:that;35:nsubj:she;36:aux:had;38:advmod:accidentally;43:obl:stairs,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,yes,none,foil,,68
FG003,Privileged / Confidential Information may be [[contained]] in this message .,Privileged/Confidential Information may be contained in this message.,contained,4:nsubj:pass:Information;5:aux:may;6:aux:pass:be;10:obl:message;11:punct:.,past_participle,be,clausal_predication,yes,no,no,no,no,yes,stative_adjectival,peripheral,,69
FG030,I have been getting my treatments for a few months now and have [[seen]] some results but not up to the standards that I was told I should expect .,I have been getting my treatments for a few months now and have seen some results but not up to the standards that I was told I should expect.,seen,12:cc:and;13:aux:have;16:obj:results,past_participle,absent_other,clausal_predication,yes,no,no,yes,no,no,none,foil,,70
FG036,"I 've stayed at this fabulous little motel two years running , and I have to say it 's one of the best lodging experiences I 've ever had on the coast ... and I 'm even comparing it to the big resorts I 've [[stayed]] at !","I've stayed at this fabulous little motel two years running, and I have to say it's one of the best lodging experiences I've ever had on the coast...and I'm even comparing it to the big resorts I've stayed at!",stayed,44:nsubj:I;45:aux:'ve;47:obl:at,past_participle,modifier_position,reduced_modifier,no,no,no,yes,no,no,none,foil,,71
